name,role,team,price,expected_points,position_scarcity,risk_factor,ev_score,ev_percentile
Ravaglia F.,P,Bologna,9,7.4,0.13999999999999999,0.31999999999999995,2.3296296296296304,0.39883268482490275
Gabbia,D,Milan,16,14.100000000000001,0.15806451612903225,0.3182795698924731,2.32796875,0.3968871595330739
Brescianini,C,Atalanta,23,19.108133971291867,0.15180722891566265,0.29530120481927713,2.325015094613816,0.3949416342412451
Butez,P,Como,32,24.666666666666668,0.13999999999999999,0.28,2.3125000000000004,0.39299610894941633
Douvikas,A,Como,16,17.616494845360826,0.18529411764705883,0.403921568627451,2.3004357530024446,0.39105058365758755
Pickel,C,Cremonese,5,4.777033492822967,0.15180722891566265,0.3953012048192771,2.2943474737299976,0.38910505836575876
Folorunsho,C,Cagliari,27,21.49665071770335,0.15180722891566265,0.27602409638554215,2.289090451225934,0.3861867704280156
Bernardeschi,C,Bologna,27,21.49665071770335,0.15180722891566265,0.27602409638554215,2.289090451225934,0.3861867704280156
Rrahmani,D,Napoli,32,25.85,0.15806451612903225,0.2698924731182796,2.285436197916667,0.3832684824902724
Acerbi,D,Inter,26,21.150000000000002,0.15806451612903225,0.27580645161290324,2.2827764423076924,0.38132295719844356
Adopo,C,Cagliari,14,11.942583732057416,0.15180722891566265,0.328433734939759,2.2750499563393043,0.37937743190661477
Pavard,D,Inter,23,18.8,0.15806451612903225,0.28548387096774197,2.2631521739130434,0.3754863813229572
Marusic,D,Lazio,23,18.8,0.15806451612903225,0.28548387096774197,2.2631521739130434,0.3754863813229572
Biraghi,D,Torino,23,18.8,0.15806451612903225,0.28548387096774197,2.2631521739130434,0.3754863813229572
Thorstvedt,C,Sassuolo,24,19.108133971291867,0.15180722891566265,0.2874698795180723,2.252900803553032,0.36964980544747084
Helgason,C,Lecce,24,19.108133971291867,0.15180722891566265,0.2874698795180723,2.252900803553032,0.36964980544747084
Fagioli,C,Fiorentina,24,19.108133971291867,0.15180722891566265,0.2874698795180723,2.252900803553032,0.36964980544747084
Saelemaekers,C,Milan,38,28.662200956937802,0.15180722891566265,0.24891566265060242,2.249813154942713,0.3657587548638132
Chukwueze,C,Milan,11,9.554066985645933,0.15180722891566265,0.3489156626506024,2.2457667677438287,0.36284046692607
Ghion,C,Sassuolo,11,9.554066985645933,0.15180722891566265,0.3489156626506024,2.2457667677438287,0.36284046692607
Isaksen,C,Lazio,45,33.43923444976077,0.15180722891566265,0.24048192771084337,2.2413709087856657,0.35992217898832685
Kilicsoy,A,Cagliari,12,13.21237113402062,0.18529411764705883,0.4225490196078432,2.228547135721118,0.35700389105058367
Bravo,A,Udinese,12,13.21237113402062,0.18529411764705883,0.4225490196078432,2.228547135721118,0.35700389105058367
Bernabè,C,Parma,35,26.273684210526316,0.15180722891566265,0.25433734939759034,2.222936863690326,0.3540856031128405
Pasalic,C,Atalanta,28,21.49665071770335,0.15180722891566265,0.27120481927710843,2.2220307619854336,0.3521400778210117
Doig,D,Sassuolo,17,14.100000000000001,0.15806451612903225,0.3118279569892473,2.2117647058823535,0.35019455252918286
